                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
           randwrite-4096KiB[       266.6       266.3][         0.0         0.0][       266.6       266.3][   1091786.9   1090814.1][         0.0         0.0][   1091786.9   1090814.1][         0.0         0.0][   6970572.8   6958284.8]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x]
            randread-4096KiB[      1915.8      1685.8][   7847275.2   6904840.7][         0.0         0.0][   7847275.2   6904840.7][      1915.8      1685.8][         0.0         0.0][   1312358.4   1523507.2][         0.0         0.0]
                            [     ratio->       0.88x][     ratio->       0.88x][     ratio->            ][     ratio->       0.88x][     ratio->       0.88x][     ratio->            ][     ratio->       1.16x][     ratio->            ]
                read-4096KiB[      1149.8      1103.4][   4709786.1   4519719.0][         0.0         0.0][   4709786.1   4519719.0][      1149.8      1103.4][         0.0         0.0][   2274508.8   2446540.8][         0.0         0.0]
                            [     ratio->       0.96x][     ratio->       0.96x][     ratio->            ][     ratio->       0.96x][     ratio->       0.96x][     ratio->            ][     ratio->       1.08x][     ratio->            ]
              randrw-4096KiB[       346.0       347.4][    771377.9    773434.7][       157.7       158.6][   1417112.2   1423195.7][       188.3       188.8][    645734.3    649761.0][   4858675.2   4871884.8][   5898649.6   6070272.0]
                            [     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.01x][     ratio->       1.00x][     ratio->       1.00x][     ratio->       1.01x][     ratio->       1.00x][     ratio->       1.03x]
                randrw-64KiB[     21377.1     21524.3][    681629.5    686558.8][     10726.6     10796.9][   1368134.5   1377557.5][     10650.5     10727.5][    686505.0    690998.7][    102956.8    101683.2][     84864.0     85088.0]
                            [     ratio->       1.01x][     ratio->       1.01x][     ratio->       1.01x][     ratio->       1.01x][     ratio->       1.01x][     ratio->       1.01x][     ratio->       0.99x][     ratio->       1.00x]
           randwrite-1024KiB[      1040.8      1036.3][         0.0         0.0][      1040.8      1036.3][   1065775.6   1061138.6][         0.0         0.0][   1065775.6   1061138.6][         0.0         0.0][   1683046.4   1728512.0]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       1.03x]
               write-1024KiB[      1090.0      1056.9][         0.0         0.0][      1090.0      1056.9][   1116122.2   1082291.1][         0.0         0.0][   1116122.2   1082291.1][         0.0         0.0][   1090892.8   1159680.0]
                            [     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->       0.97x][     ratio->            ][     ratio->       0.97x][     ratio->            ][     ratio->       1.06x]
               randrw-256KiB[      4988.8      4954.5][    640358.2    636331.2][      2487.4      2468.8][   1277141.5   1268345.1][      2501.4      2485.7][    636783.2    632013.9][    300044.8    293260.8][    382016.0    383705.6]
                            [     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.99x][     ratio->       0.98x][     ratio->       1.00x]
            randwrite-256KiB[      4224.9      4049.2][         0.0         0.0][      4224.9      4049.2][   1081579.9   1036602.0][         0.0         0.0][   1081579.9   1036602.0][         0.0         0.0][    418099.2    404160.0]
                            [     ratio->       0.96x][     ratio->            ][     ratio->       0.96x][     ratio->       0.96x][     ratio->            ][     ratio->       0.96x][     ratio->            ][     ratio->       0.97x]
                write-256KiB[      4282.8      4239.3][         0.0         0.0][      4282.8      4239.3][   1096383.6   1085270.5][         0.0         0.0][   1096383.6   1085270.5][         0.0         0.0][    288947.2    276096.0]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.96x]
            randread-1024KiB[      7465.5      6167.4][   7644700.7   6315443.6][         0.0         0.0][   7644700.7   6315443.6][      7465.5      6167.4][         0.0         0.0][    419507.2    430208.0][         0.0         0.0]
                            [     ratio->       0.83x][     ratio->       0.83x][     ratio->            ][     ratio->       0.83x][     ratio->       0.83x][     ratio->            ][     ratio->       1.03x][     ratio->            ]
                  read-16KiB[    100717.0    113593.4][   1611471.8   1817494.0][         0.0         0.0][   1611471.8   1817494.0][    100717.0    113593.4][         0.0         0.0][     17536.0     16378.4][         0.0         0.0]
                            [     ratio->       1.13x][     ratio->       1.13x][     ratio->            ][     ratio->       1.13x][     ratio->       1.13x][     ratio->            ][     ratio->       0.93x][     ratio->            ]
             randwrite-64KiB[     16911.2     17069.5][         0.0         0.0][     16911.2     17069.5][   1082318.6   1092447.2][         0.0         0.0][   1082318.6   1092447.2][         0.0         0.0][    106432.0    105881.6]
                            [     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->       1.01x][     ratio->            ][     ratio->       1.01x][     ratio->            ][     ratio->       0.99x]
             randread-256KiB[     28552.8     27263.2][   7309516.5   6979366.2][         0.0         0.0][   7309516.5   6979366.2][     28552.8     27263.2][         0.0         0.0][    117081.6    121824.0][         0.0         0.0]
                            [     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       0.95x][     ratio->       0.95x][     ratio->            ][     ratio->       1.04x][     ratio->            ]
               randread-4KiB[    190181.2    171291.4][    760724.6    685165.7][         0.0         0.0][    760724.6    685165.7][    190181.2    171291.4][         0.0         0.0][     10665.6     10934.4][         0.0         0.0]
                            [     ratio->       0.90x][     ratio->       0.90x][     ratio->            ][     ratio->       0.90x][     ratio->       0.90x][     ratio->            ][     ratio->       1.03x][     ratio->            ]
           RATIO GEO_MEAN-->[       1.00x       0.98x][       1.00x       1.00x][       1.00x       0.99x][       1.00x       0.99x][       1.00x       0.98x][       1.00x       0.99x][       1.00x       0.99x][       1.00x       1.02x]
