                            [          readwrite_IOPS][             read_kB_sec][              write_IOPS][               rw_kB_sec][               read_IOPS][            write_kB_sec][        read_95th_lat_us][       write_95th_lat_us]
                            [    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1][    result_0    result_1]
               randrw-256KiB[      4918.8      1730.7][    631738.2    224038.8][      2451.0       855.6][   1259205.1    443063.1][      2467.7       875.1][    627466.8    219024.3][    134316.8    125206.4][    394176.0   1752576.0]
                            [     ratio->       0.35x][     ratio->       0.35x][     ratio->       0.35x][     ratio->       0.35x][     ratio->       0.35x][     ratio->       0.35x][     ratio->       0.93x][     ratio->       4.45x]
          randwrite-16384KiB[        68.4        64.4][         0.0         0.0][        68.4        64.4][   1120418.3   1055290.0][         0.0         0.0][   1120418.3   1055290.0][         0.0         0.0][  21327872.0  22984294.4]
                            [     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->       0.94x][     ratio->            ][     ratio->       0.94x][     ratio->            ][     ratio->       1.08x]
                write-256KiB[      4097.8      3292.9][         0.0         0.0][      4097.8      3292.9][   1049043.2    842997.1][         0.0         0.0][   1049043.2    842997.1][         0.0         0.0][    279705.6    251468.8]
                            [     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->            ][     ratio->       0.90x]
            randread-1024KiB[      1576.3      1301.7][   1614150.8   1332994.9][         0.0         0.0][   1614150.8   1332994.9][      1576.3      1301.7][         0.0         0.0][    413030.4    104057.6][         0.0         0.0]
                            [     ratio->       0.83x][     ratio->       0.83x][     ratio->            ][     ratio->       0.83x][     ratio->       0.83x][     ratio->            ][     ratio->       0.25x][     ratio->            ]
             randwrite-64KiB[     14993.8     14974.5][         0.0         0.0][     14993.8     14974.5][    959601.5    958367.2][         0.0         0.0][    959601.5    958367.2][         0.0         0.0][    104697.6    109612.8]
                            [     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->       1.00x][     ratio->            ][     ratio->       1.00x][     ratio->            ][     ratio->       1.05x]
               randread-4KiB[    113004.7     10974.8][    452018.7     43899.2][         0.0         0.0][    452018.7     43899.2][    113004.7     10974.8][         0.0         0.0][     11337.6      9662.4][         0.0         0.0]
                            [     ratio->       0.10x][     ratio->       0.10x][     ratio->            ][     ratio->       0.10x][     ratio->       0.10x][     ratio->            ][     ratio->       0.85x][     ratio->            ]
                 write-64KiB[     17010.5     15158.0][         0.0         0.0][     17010.5     15158.0][   1088671.8    970114.7][         0.0         0.0][   1088671.8    970114.7][         0.0         0.0][     97145.6    120051.2]
                            [     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->            ][     ratio->       1.24x]
                 read-256KiB[      8861.9      2880.2][   2268638.5    737344.5][         0.0         0.0][   2268638.5    737344.5][      8861.9      2880.2][         0.0         0.0][    149248.0     37888.0][         0.0         0.0]
                            [     ratio->       0.33x][     ratio->       0.33x][     ratio->            ][     ratio->       0.33x][     ratio->       0.33x][     ratio->            ][     ratio->       0.25x][     ratio->            ]
                   read-4KiB[    125012.9     16054.8][    500051.9     64219.4][         0.0         0.0][    500051.9     64219.4][    125012.9     16054.8][         0.0         0.0][     11632.0    574310.4][         0.0         0.0]
                            [     ratio->       0.13x][     ratio->       0.13x][     ratio->            ][     ratio->       0.13x][     ratio->       0.13x][     ratio->            ][     ratio->      49.37x][     ratio->            ]
                read-1024KiB[      1826.3      1460.8][   1870110.3   1495920.7][         0.0         0.0][   1870110.3   1495920.7][      1826.3      1460.8][         0.0         0.0][    468480.0     83670.4][         0.0         0.0]
                            [     ratio->       0.80x][     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->       0.80x][     ratio->            ][     ratio->       0.18x][     ratio->            ]
             randwrite-16KiB[     60190.0     36168.1][         0.0         0.0][     60190.0     36168.1][    963040.4    578690.1][         0.0         0.0][    963040.4    578690.1][         0.0         0.0][     56419.2     35772.8]
                            [     ratio->       0.60x][     ratio->            ][     ratio->       0.60x][     ratio->       0.60x][     ratio->            ][     ratio->       0.60x][     ratio->            ][     ratio->       0.63x]
                 randrw-4KiB[     87439.6     14377.7][    175475.8     28493.3][     43570.7      7254.4][    349758.4     57510.8][     43868.9      7123.3][    174282.6     29017.5][     52411.2    145305.6][      6589.4    181145.6]
                            [     ratio->       0.16x][     ratio->       0.16x][     ratio->       0.17x][     ratio->       0.16x][     ratio->       0.16x][     ratio->       0.17x][     ratio->       2.77x][     ratio->      27.49x]
              randrw-1024KiB[      1430.7       829.5][    756475.9    451588.0][       691.9       388.5][   1465024.2    849394.2][       738.8       441.0][    708548.3    397806.3][    355635.2    210816.0][   1718169.6   3569664.0]
                            [     ratio->       0.58x][     ratio->       0.60x][     ratio->       0.56x][     ratio->       0.58x][     ratio->       0.60x][     ratio->       0.56x][     ratio->       0.59x][     ratio->       2.08x]
                 write-16KiB[     44346.1     35684.3][         0.0         0.0][     44346.1     35684.3][    709536.8    570948.7][         0.0         0.0][    709536.8    570948.7][         0.0         0.0][     59843.2     34841.6]
                            [     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->       0.80x][     ratio->            ][     ratio->       0.80x][     ratio->            ][     ratio->       0.58x]
           randwrite-4096KiB[       258.1       256.6][         0.0         0.0][       258.1       256.6][   1057163.0   1051196.1][         0.0         0.0][   1057163.0   1051196.1][         0.0         0.0][   6758195.2   6648832.0]
                            [     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->       0.99x][     ratio->            ][     ratio->       0.99x][     ratio->            ][     ratio->       0.98x]
            randread-4096KiB[       523.9       298.4][   2146028.6   1222406.3][         0.0         0.0][   2146028.6   1222406.3][       523.9       298.4][         0.0         0.0][   3305062.4   6573260.8][         0.0         0.0]
                            [     ratio->       0.57x][     ratio->       0.57x][     ratio->            ][     ratio->       0.57x][     ratio->       0.57x][     ratio->            ][     ratio->       1.99x][     ratio->            ]
                read-4096KiB[       564.7       387.7][   2312875.2   1587877.3][         0.0         0.0][   2312875.2   1587877.3][       564.7       387.7][         0.0         0.0][   3108044.8   5074944.0][         0.0         0.0]
                            [     ratio->       0.69x][     ratio->       0.69x][     ratio->            ][     ratio->       0.69x][     ratio->       0.69x][     ratio->            ][     ratio->       1.63x][     ratio->            ]
               write-1024KiB[      1050.0      1023.8][         0.0         0.0][      1050.0      1023.8][   1075166.1   1048353.6][         0.0         0.0][   1075166.1   1048353.6][         0.0         0.0][   1133849.6   1228800.0]
                            [     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->       0.98x][     ratio->            ][     ratio->       0.98x][     ratio->            ][     ratio->       1.08x]
            randwrite-256KiB[      4316.9      3824.5][         0.0         0.0][      4316.9      3824.5][   1105119.4    979072.6][         0.0         0.0][   1105119.4    979072.6][         0.0         0.0][    285977.6    276915.2]
                            [     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->       0.89x][     ratio->            ][     ratio->       0.89x][     ratio->            ][     ratio->       0.97x]
                  read-16KiB[     80691.0      7482.5][   1291056.1    119719.8][         0.0         0.0][   1291056.1    119719.8][     80691.0      7482.5][         0.0         0.0][     19680.0     15284.8][         0.0         0.0]
                            [     ratio->       0.09x][     ratio->       0.09x][     ratio->            ][     ratio->       0.09x][     ratio->       0.09x][     ratio->            ][     ratio->       0.78x][     ratio->            ]
             randread-256KiB[      8917.2      2845.4][   2282796.3    728427.3][         0.0         0.0][   2282796.3    728427.3][      8917.2      2845.4][         0.0         0.0][    139737.6     39158.4][         0.0         0.0]
                            [     ratio->       0.32x][     ratio->       0.32x][     ratio->            ][     ratio->       0.32x][     ratio->       0.32x][     ratio->            ][     ratio->       0.28x][     ratio->            ]
           RATIO GEO_MEAN-->[       1.00x       0.44x][       1.00x       1.80x][       1.00x       0.29x][       1.00x       0.59x][       1.00x       0.44x][       1.00x       0.29x][       1.00x       0.59x][       1.00x       1.15x]
